longitude,latitude,COUNTRY,Demonym
18.427113900363,15.2834935466545,Chad,chadian
9.91774792168059,2.16345301148848,Equatorial Guinea,equatorial guinean
-42.29462747902,1.68607741621195,Kiribati,i-kiribati
17.9113339245424,27.2029157716908,Libya,libyan
14.4419224425085,35.8905226508993,Malta,maltese
8.86863247002646,17.0810539240729,Niger,nigerien
8.14763271871704,9.60970737648159,Nigeria,nigerian
0.899085757110968,8.66074303771781,Togo,togolese
9.65587551697984,34.0863617956572,Tunisia,tunisian
33.3753460091992,35.1170041634524,Cyprus,cypriot
42.6134968987895,11.7502357276188,Djibouti,djiboutian
30.2401354350123,26.6051703445063,Egypt,egyptian
39.2672401449901,15.0055331476677,Eritrea,eritrean
39.9149028865443,8.7293895570484,Ethiopia,ethiopian
24.2555963886321,38.4186493701619,Greece,greek
